  id  |    date    | send_in_telegram |    message    |          created_at           |          updated_at           | booking_id | cleaning_id | payment_id 
 2625 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:05:47.917731+00 | 2024-04-06 23:05:47.917745+00 |        568 |             |           
 2626 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:05:47.918649+00 | 2024-04-06 23:05:47.918694+00 |        568 |             |           
 2627 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:14:43.383696+00 | 2024-04-06 23:14:43.38371+00  |            |         518 |           
 2628 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:14:43.385508+00 | 2024-04-06 23:14:43.385524+00 |        569 |             |           
 2629 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:14:43.386686+00 | 2024-04-06 23:14:43.3867+00   |        569 |             |           
 2630 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:21:05.833452+00 | 2024-04-06 23:21:05.83347+00  |            |         519 |           
 2631 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:21:05.835709+00 | 2024-04-06 23:21:05.835726+00 |        570 |             |           
 2632 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:21:05.836861+00 | 2024-04-06 23:21:05.836877+00 |        570 |             |           
 2633 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:23:21.650551+00 | 2024-04-06 23:23:21.650573+00 |            |         520 |           
 2634 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:23:21.653595+00 | 2024-04-06 23:23:21.653616+00 |        571 |             |           
 2635 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:23:21.655401+00 | 2024-04-06 23:23:21.655418+00 |        571 |             |           
 2636 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:31:20.809408+00 | 2024-04-06 23:31:20.809425+00 |            |         521 |           
 2637 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:31:20.811903+00 | 2024-04-06 23:31:20.811917+00 |        572 |             |           
 2638 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:31:20.812982+00 | 2024-04-06 23:31:20.812996+00 |        572 |             |           
 2639 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:32:23.915966+00 | 2024-04-06 23:32:23.91598+00  |            |         522 |           
 2640 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:32:23.917743+00 | 2024-04-06 23:32:23.917758+00 |        573 |             |           
 2641 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:32:23.918746+00 | 2024-04-06 23:32:23.918759+00 |        573 |             |           
 2642 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:33:12.007762+00 | 2024-04-06 23:33:12.007781+00 |            |         523 |           
 2643 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:33:12.009856+00 | 2024-04-06 23:33:12.009873+00 |        574 |             |           
 2644 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:33:12.010965+00 | 2024-04-06 23:33:12.010986+00 |        574 |             |           
 2645 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:39:30.26338+00  | 2024-04-06 23:39:30.263395+00 |            |         524 |           
 2385 | 2024-01-08 | t                | Payment       | 2024-01-18 22:34:46.978584+00 | 2024-01-18 22:34:46.978596+00 |            |             |       2209
 2386 | 2024-01-18 | t                | Payment       | 2024-01-18 22:36:15.191107+00 | 2024-01-18 22:36:15.191123+00 |            |             |       2210
 2388 | 2024-03-18 | t                | Payment       | 2024-01-18 22:36:15.195338+00 | 2024-01-18 22:36:15.195351+00 |            |             |       2212
 2646 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:39:30.265263+00 | 2024-04-06 23:39:30.265281+00 |        575 |             |           
 2647 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:39:30.266241+00 | 2024-04-06 23:39:30.266253+00 |        575 |             |           
 2648 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:40:57.287198+00 | 2024-04-06 23:40:57.287213+00 |            |         525 |           
 2649 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:40:57.288828+00 | 2024-04-06 23:40:57.288841+00 |        576 |             |           
 2650 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:40:57.28964+00  | 2024-04-06 23:40:57.289652+00 |        576 |             |           
 2651 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:42:24.852701+00 | 2024-04-06 23:42:24.852715+00 |            |         526 |           
 2652 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:42:24.854987+00 | 2024-04-06 23:42:24.855002+00 |        577 |             |           
 2653 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:42:24.85622+00  | 2024-04-06 23:42:24.856241+00 |        577 |             |           
 2405 | 2024-02-19 | t                | Payment       | 2024-02-20 08:19:59.615581+00 | 2024-02-20 08:19:59.615595+00 |            |             |       2217
 2387 | 2024-02-16 | t                | Payment       | 2024-01-18 22:36:15.193582+00 | 2024-01-18 22:36:15.193594+00 |            |             |       2211
 2806 | 2024-05-29 | t                | Cleaning      | 2024-05-29 21:50:22.160912+00 | 2024-05-29 21:50:22.160924+00 |            |         564 |           
 2807 | 2024-05-29 | t                | End Booking   | 2024-05-29 21:50:22.16393+00  | 2024-05-29 21:50:22.163943+00 |        615 |             |           
 2808 | 2024-05-29 | t                | Start Booking | 2024-05-29 21:50:22.164687+00 | 2024-05-29 21:50:22.164698+00 |        615 |             |           
 2809 | 2024-05-29 | t                | Cleaning      | 2024-05-29 22:08:15.835832+00 | 2024-05-29 22:08:15.835845+00 |            |         565 |           
 2810 | 2024-05-29 | t                | End Booking   | 2024-05-29 22:08:15.838618+00 | 2024-05-29 22:08:15.838631+00 |        616 |             |           
 2811 | 2024-05-29 | t                | Start Booking | 2024-05-29 22:08:15.839426+00 | 2024-05-29 22:08:15.839437+00 |        616 |             |           
 2812 | 2024-06-04 | t                | Cleaning      | 2024-06-04 18:32:14.757452+00 | 2024-06-04 18:32:14.757463+00 |            |         566 |           
 2813 | 2024-06-04 | t                | End Booking   | 2024-06-04 18:32:14.761592+00 | 2024-06-04 18:32:14.761602+00 |        617 |             |           
 2814 | 2024-06-04 | t                | Start Booking | 2024-06-04 18:32:14.762244+00 | 2024-06-04 18:32:14.762254+00 |        617 |             |           
 2815 | 2024-06-05 | t                | Payment       | 2024-06-04 18:32:14.771145+00 | 2024-06-04 18:32:14.771161+00 |            |             |       2306
 2816 | 2024-06-04 | t                | Cleaning      | 2024-06-04 18:35:40.467805+00 | 2024-06-04 18:35:40.467819+00 |            |         567 |           
 2817 | 2024-06-04 | t                | End Booking   | 2024-06-04 18:35:40.469364+00 | 2024-06-04 18:35:40.469377+00 |        618 |             |           
 2818 | 2024-06-04 | t                | Start Booking | 2024-06-04 18:35:40.470129+00 | 2024-06-04 18:35:40.47014+00  |        618 |             |           
 2819 | 2024-06-05 | t                | Payment       | 2024-06-04 18:35:40.473394+00 | 2024-06-04 18:35:40.473404+00 |            |             |       2307
 2820 | 2024-06-04 | t                | Cleaning      | 2024-06-04 18:38:44.518416+00 | 2024-06-04 18:38:44.518426+00 |            |         568 |           
 2821 | 2024-06-04 | t                | End Booking   | 2024-06-04 18:38:44.519755+00 | 2024-06-04 18:38:44.519766+00 |        619 |             |           
 2822 | 2024-06-04 | t                | Start Booking | 2024-06-04 18:38:44.520599+00 | 2024-06-04 18:38:44.520611+00 |        619 |             |           
 2823 | 2024-06-05 | t                | Payment       | 2024-06-04 18:38:44.524408+00 | 2024-06-04 18:38:44.52442+00  |            |             |       2308
 2824 | 2024-06-04 | t                | Cleaning      | 2024-06-04 18:42:51.928269+00 | 2024-06-04 18:42:51.928283+00 |            |         569 |           
 2825 | 2024-06-04 | t                | End Booking   | 2024-06-04 18:42:51.929637+00 | 2024-06-04 18:42:51.929649+00 |        620 |             |           
 2687 | 2024-05-27 | t                | Cleaning      | 2024-05-26 16:45:12.057773+00 | 2024-05-26 16:45:12.057785+00 |            |         536 |           
 2688 | 2024-05-27 | t                | End Booking   | 2024-05-26 16:45:12.059064+00 | 2024-05-26 16:45:12.059076+00 |        587 |             |           
 2689 | 2024-05-26 | t                | Start Booking | 2024-05-26 16:45:12.059752+00 | 2024-05-26 16:45:12.059763+00 |        587 |             |           
 2826 | 2024-06-04 | t                | Start Booking | 2024-06-04 18:42:51.930304+00 | 2024-06-04 18:42:51.930315+00 |        620 |             |           
 2827 | 2024-06-05 | t                | Payment       | 2024-06-04 18:42:51.93358+00  | 2024-06-04 18:42:51.93359+00  |            |             |       2309
 2828 | 2024-06-04 | t                | Cleaning      | 2024-06-04 19:00:07.400947+00 | 2024-06-04 19:00:07.400957+00 |            |         570 |           
 2829 | 2024-06-04 | t                | End Booking   | 2024-06-04 19:00:07.40238+00  | 2024-06-04 19:00:07.402391+00 |        621 |             |           
 2830 | 2024-06-04 | t                | Start Booking | 2024-06-04 19:00:07.403316+00 | 2024-06-04 19:00:07.403348+00 |        621 |             |           
 2831 | 2024-06-04 | t                | Cleaning      | 2024-06-04 19:01:22.283211+00 | 2024-06-04 19:01:22.283223+00 |            |         571 |           
 2832 | 2024-06-04 | t                | End Booking   | 2024-06-04 19:01:22.284543+00 | 2024-06-04 19:01:22.284556+00 |        622 |             |           
 2833 | 2024-06-04 | t                | Start Booking | 2024-06-04 19:01:22.28537+00  | 2024-06-04 19:01:22.285381+00 |        622 |             |           
 2834 | 2024-06-04 | t                | Cleaning      | 2024-06-04 19:02:02.654712+00 | 2024-06-04 19:02:02.654723+00 |            |         572 |           
 2835 | 2024-06-04 | t                | End Booking   | 2024-06-04 19:02:02.656318+00 | 2024-06-04 19:02:02.656332+00 |        623 |             |           
 2836 | 2024-06-04 | t                | Start Booking | 2024-06-04 19:02:02.657374+00 | 2024-06-04 19:02:02.65739+00  |        623 |             |           
 2837 | 2024-06-04 | t                | Cleaning      | 2024-06-04 19:19:29.248732+00 | 2024-06-04 19:19:29.248742+00 |            |         573 |           
 2838 | 2024-06-04 | t                | End Booking   | 2024-06-04 19:19:29.2501+00   | 2024-06-04 19:19:29.250113+00 |        624 |             |           
 2839 | 2024-06-04 | t                | Start Booking | 2024-06-04 19:19:29.250953+00 | 2024-06-04 19:19:29.250964+00 |        624 |             |           
 2840 | 2024-06-04 | t                | Cleaning      | 2024-06-04 20:02:29.24287+00  | 2024-06-04 20:02:29.242883+00 |            |         574 |           
 2841 | 2024-06-04 | t                | End Booking   | 2024-06-04 20:02:29.245964+00 | 2024-06-04 20:02:29.245975+00 |        625 |             |           
 2842 | 2024-06-04 | t                | Start Booking | 2024-06-04 20:02:29.246758+00 | 2024-06-04 20:02:29.246769+00 |        625 |             |           
 2843 | 2024-06-04 | t                | Cleaning      | 2024-06-04 20:09:21.513664+00 | 2024-06-04 20:09:21.513675+00 |            |         575 |           
 2844 | 2024-06-04 | t                | End Booking   | 2024-06-04 20:09:21.516062+00 | 2024-06-04 20:09:21.516079+00 |        626 |             |           
 2845 | 2024-06-04 | t                | Start Booking | 2024-06-04 20:09:21.517182+00 | 2024-06-04 20:09:21.517199+00 |        626 |             |           
 2846 | 2024-06-04 | t                | Cleaning      | 2024-06-04 20:13:44.576046+00 | 2024-06-04 20:13:44.576064+00 |            |         576 |           
 2847 | 2024-06-04 | t                | End Booking   | 2024-06-04 20:13:44.57887+00  | 2024-06-04 20:13:44.578889+00 |        627 |             |           
 2848 | 2024-06-04 | t                | Start Booking | 2024-06-04 20:13:44.580095+00 | 2024-06-04 20:13:44.58011+00  |        627 |             |           
 2849 | 2024-06-04 | t                | Cleaning      | 2024-06-04 20:15:36.149704+00 | 2024-06-04 20:15:36.149721+00 |            |         577 |           
 2850 | 2024-06-04 | t                | End Booking   | 2024-06-04 20:15:36.151556+00 | 2024-06-04 20:15:36.151573+00 |        628 |             |           
 2851 | 2024-06-04 | t                | Start Booking | 2024-06-04 20:15:36.153462+00 | 2024-06-04 20:15:36.153479+00 |        628 |             |           
 2852 | 2024-06-04 | t                | Cleaning      | 2024-06-04 20:17:06.265499+00 | 2024-06-04 20:17:06.26551+00  |            |         578 |           
 2853 | 2024-06-04 | t                | End Booking   | 2024-06-04 20:17:06.267163+00 | 2024-06-04 20:17:06.267182+00 |        629 |             |           
 2854 | 2024-06-04 | t                | Start Booking | 2024-06-04 20:17:06.268373+00 | 2024-06-04 20:17:06.26839+00  |        629 |             |           
 2855 | 2024-06-04 | t                | Cleaning      | 2024-06-04 20:25:42.4705+00   | 2024-06-04 20:25:42.470509+00 |            |         579 |           
 2856 | 2024-06-04 | t                | End Booking   | 2024-06-04 20:25:42.471654+00 | 2024-06-04 20:25:42.471663+00 |        630 |             |           
 2857 | 2024-06-04 | t                | Start Booking | 2024-06-04 20:25:42.472332+00 | 2024-06-04 20:25:42.47234+00  |        630 |             |           
 2858 | 2024-06-04 | t                | Cleaning      | 2024-06-04 20:32:44.766945+00 | 2024-06-04 20:32:44.766955+00 |            |         580 |           
 2859 | 2024-06-04 | t                | End Booking   | 2024-06-04 20:32:44.769322+00 | 2024-06-04 20:32:44.769337+00 |        631 |             |           
 2860 | 2024-06-04 | t                | Start Booking | 2024-06-04 20:32:44.77047+00  | 2024-06-04 20:32:44.770484+00 |        631 |             |           
 2861 | 2024-06-05 | t                | Payment       | 2024-06-04 20:32:44.77845+00  | 2024-06-04 20:32:44.778465+00 |            |             |       2310
 2862 | 2024-06-04 | t                | Cleaning      | 2024-06-04 20:41:47.477643+00 | 2024-06-04 20:41:47.477653+00 |            |         581 |           
 2863 | 2024-06-04 | t                | End Booking   | 2024-06-04 20:41:47.479575+00 | 2024-06-04 20:41:47.479585+00 |        632 |             |           
 2864 | 2024-06-04 | t                | Start Booking | 2024-06-04 20:41:47.480368+00 | 2024-06-04 20:41:47.480378+00 |        632 |             |           
 2865 | 2024-06-04 | t                | Cleaning      | 2024-06-04 21:00:02.27036+00  | 2024-06-04 21:00:02.27037+00  |            |         582 |           
 2866 | 2024-06-04 | t                | End Booking   | 2024-06-04 21:00:02.271629+00 | 2024-06-04 21:00:02.271639+00 |        633 |             |           
 2867 | 2024-06-04 | t                | Start Booking | 2024-06-04 21:00:02.272334+00 | 2024-06-04 21:00:02.272345+00 |        633 |             |           
 2868 | 2024-06-04 | t                | Cleaning      | 2024-06-04 21:13:23.549511+00 | 2024-06-04 21:13:23.549521+00 |            |         583 |           
 2869 | 2024-06-04 | t                | End Booking   | 2024-06-04 21:13:23.551414+00 | 2024-06-04 21:13:23.551424+00 |        634 |             |           
 2870 | 2024-06-04 | t                | Start Booking | 2024-06-04 21:13:23.55221+00  | 2024-06-04 21:13:23.55222+00  |        634 |             |           
 2871 | 2024-06-04 | t                | Cleaning      | 2024-06-04 21:24:23.791182+00 | 2024-06-04 21:24:23.791193+00 |            |         584 |           
 2872 | 2024-06-04 | t                | End Booking   | 2024-06-04 21:24:23.792671+00 | 2024-06-04 21:24:23.792707+00 |        635 |             |           
 2873 | 2024-06-04 | t                | Start Booking | 2024-06-04 21:24:23.793489+00 | 2024-06-04 21:24:23.793501+00 |        635 |             |           
 2874 | 2024-06-05 | t                | Payment       | 2024-06-04 21:24:23.799029+00 | 2024-06-04 21:24:23.79904+00  |            |             |       2311
 2875 | 2024-06-04 | t                | Payment       | 2024-06-04 21:24:23.801271+00 | 2024-06-04 21:24:23.801282+00 |            |             |       2312
 2876 | 2024-06-04 | t                | Payment       | 2024-06-04 21:24:23.804033+00 | 2024-06-04 21:24:23.804051+00 |            |             |       2313
 2877 | 2024-06-04 | t                | Payment       | 2024-06-04 21:24:23.806238+00 | 2024-06-04 21:24:23.806249+00 |            |             |       2314
 2878 | 2024-06-08 | t                | Payment       | 2024-06-04 21:24:23.80894+00  | 2024-06-04 21:24:23.808951+00 |            |             |       2315
 2879 | 2024-06-04 | t                | Cleaning      | 2024-06-04 22:17:27.443374+00 | 2024-06-04 22:17:27.443386+00 |            |         585 |           
 2880 | 2024-06-04 | t                | End Booking   | 2024-06-04 22:17:27.445132+00 | 2024-06-04 22:17:27.445143+00 |        636 |             |           
 2881 | 2024-06-04 | t                | Start Booking | 2024-06-04 22:17:27.445826+00 | 2024-06-04 22:17:27.445837+00 |        636 |             |           
 2882 | 2024-06-04 | t                | Cleaning      | 2024-06-04 22:46:16.468308+00 | 2024-06-04 22:46:16.468323+00 |            |         586 |           
 2883 | 2024-06-04 | t                | End Booking   | 2024-06-04 22:46:16.470026+00 | 2024-06-04 22:46:16.470041+00 |        637 |             |           
 2884 | 2024-06-04 | t                | Start Booking | 2024-06-04 22:46:16.470936+00 | 2024-06-04 22:46:16.470947+00 |        637 |             |           
 2885 | 2024-06-04 | t                | Cleaning      | 2024-06-04 23:26:35.122264+00 | 2024-06-04 23:26:35.122274+00 |            |         587 |           
 2886 | 2024-06-04 | t                | End Booking   | 2024-06-04 23:26:35.125394+00 | 2024-06-04 23:26:35.125405+00 |        638 |             |           
 2887 | 2024-06-04 | t                | Start Booking | 2024-06-04 23:26:35.126514+00 | 2024-06-04 23:26:35.126523+00 |        638 |             |           
 2888 | 2024-06-04 | t                | Cleaning      | 2024-06-05 01:01:42.54033+00  | 2024-06-05 01:01:42.540341+00 |            |         588 |           
 2889 | 2024-06-04 | t                | End Booking   | 2024-06-05 01:01:42.541668+00 | 2024-06-05 01:01:42.541678+00 |        639 |             |           
 2890 | 2024-06-04 | t                | Start Booking | 2024-06-05 01:01:42.542445+00 | 2024-06-05 01:01:42.542456+00 |        639 |             |           
 2891 | 2024-06-05 | t                | Payment       | 2024-06-05 01:01:42.550309+00 | 2024-06-05 01:01:42.55032+00  |            |             |       2316
 2892 | 2024-06-04 | t                | Payment       | 2024-06-05 01:01:42.553208+00 | 2024-06-05 01:01:42.553217+00 |            |             |       2317
 2893 | 2024-06-04 | t                | Payment       | 2024-06-05 01:01:42.555093+00 | 2024-06-05 01:01:42.555103+00 |            |             |       2318
 2894 | 2024-06-04 | t                | Payment       | 2024-06-05 01:01:42.557466+00 | 2024-06-05 01:01:42.557474+00 |            |             |       2319
 2895 | 2024-06-08 | t                | Payment       | 2024-06-05 01:01:42.559338+00 | 2024-06-05 01:01:42.559347+00 |            |             |       2320
 2896 | 2024-06-05 | t                | Cleaning      | 2024-06-05 03:20:51.597007+00 | 2024-06-05 03:20:51.597019+00 |            |         589 |           
 2897 | 2024-06-05 | t                | End Booking   | 2024-06-05 03:20:51.6033+00   | 2024-06-05 03:20:51.603316+00 |        640 |             |           
 2898 | 2024-06-05 | t                | Start Booking | 2024-06-05 03:20:51.604232+00 | 2024-06-05 03:20:51.604242+00 |        640 |             |           
 2899 | 2024-06-05 | t                | Payment       | 2024-06-05 03:20:51.612886+00 | 2024-06-05 03:20:51.612902+00 |            |             |       2321
 2900 | 2024-06-05 | t                | Payment       | 2024-06-05 03:20:51.615838+00 | 2024-06-05 03:20:51.615848+00 |            |             |       2322
 2901 | 2024-06-05 | t                | Payment       | 2024-06-05 03:20:51.618615+00 | 2024-06-05 03:20:51.618627+00 |            |             |       2323
 2902 | 2024-06-05 | t                | Payment       | 2024-06-05 03:20:51.621372+00 | 2024-06-05 03:20:51.621382+00 |            |             |       2324
 2903 | 2024-06-09 | t                | Payment       | 2024-06-05 03:20:51.623614+00 | 2024-06-05 03:20:51.623625+00 |            |             |       2325
 2904 | 2024-06-05 | t                | Cleaning      | 2024-06-05 03:32:26.009834+00 | 2024-06-05 03:32:26.009846+00 |            |         590 |           
 2905 | 2024-06-05 | t                | End Booking   | 2024-06-05 03:32:26.012901+00 | 2024-06-05 03:32:26.012919+00 |        641 |             |           
 2906 | 2024-06-05 | t                | Start Booking | 2024-06-05 03:32:26.013867+00 | 2024-06-05 03:32:26.013883+00 |        641 |             |           
 2907 | 2024-06-05 | t                | Payment       | 2024-06-05 03:32:26.019699+00 | 2024-06-05 03:32:26.019712+00 |            |             |       2326
 2908 | 2024-06-05 | t                | Payment       | 2024-06-05 03:32:26.022389+00 | 2024-06-05 03:32:26.0224+00   |            |             |       2327
 2909 | 2024-06-05 | t                | Payment       | 2024-06-05 03:32:26.026845+00 | 2024-06-05 03:32:26.02686+00  |            |             |       2328
 2910 | 2024-06-05 | t                | Payment       | 2024-06-05 03:32:26.02899+00  | 2024-06-05 03:32:26.029+00    |            |             |       2329
 2911 | 2024-06-09 | t                | Payment       | 2024-06-05 03:32:26.030888+00 | 2024-06-05 03:32:26.030898+00 |            |             |       2330
 2912 | 2024-06-05 | t                | Cleaning      | 2024-06-05 03:48:56.041441+00 | 2024-06-05 03:48:56.041452+00 |            |         591 |           
 2913 | 2024-06-05 | t                | End Booking   | 2024-06-05 03:48:56.043485+00 | 2024-06-05 03:48:56.043496+00 |        642 |             |           
 2914 | 2024-06-05 | t                | Start Booking | 2024-06-05 03:48:56.044233+00 | 2024-06-05 03:48:56.044244+00 |        642 |             |           
 2915 | 2024-06-05 | t                | Payment       | 2024-06-05 03:48:56.048884+00 | 2024-06-05 03:48:56.048898+00 |            |             |       2331
 2916 | 2024-06-05 | t                | Cleaning      | 2024-06-05 04:02:53.729945+00 | 2024-06-05 04:02:53.729956+00 |            |         592 |           
 2917 | 2024-06-05 | t                | End Booking   | 2024-06-05 04:02:53.731296+00 | 2024-06-05 04:02:53.731307+00 |        643 |             |           
 2918 | 2024-06-05 | t                | Start Booking | 2024-06-05 04:02:53.732024+00 | 2024-06-05 04:02:53.732035+00 |        643 |             |           
 2919 | 2024-06-06 | t                | Cleaning      | 2024-06-06 02:51:34.062255+00 | 2024-06-06 02:51:34.062268+00 |            |         593 |           
 2920 | 2024-06-06 | t                | End Booking   | 2024-06-06 02:51:34.067265+00 | 2024-06-06 02:51:34.067279+00 |        644 |             |           
 2921 | 2024-06-06 | t                | Start Booking | 2024-06-06 02:51:34.067995+00 | 2024-06-06 02:51:34.068007+00 |        644 |             |           
 2922 | 2024-06-06 | t                | Payment       | 2024-06-06 02:51:34.075666+00 | 2024-06-06 02:51:34.075678+00 |            |             |       2332
 2923 | 2024-06-06 | t                | Payment       | 2024-06-06 02:51:34.07795+00  | 2024-06-06 02:51:34.077961+00 |            |             |       2333
 2924 | 2024-06-06 | t                | Payment       | 2024-06-06 02:51:34.080305+00 | 2024-06-06 02:51:34.080316+00 |            |             |       2334
 2925 | 2024-06-06 | t                | Payment       | 2024-06-06 02:51:34.082867+00 | 2024-06-06 02:51:34.082877+00 |            |             |       2335
 2926 | 2024-06-10 | t                | Payment       | 2024-06-06 02:51:34.084837+00 | 2024-06-06 02:51:34.084847+00 |            |             |       2336
 2927 | 2024-06-06 | t                | Cleaning      | 2024-06-06 02:54:56.382287+00 | 2024-06-06 02:54:56.382297+00 |            |         594 |           
 2928 | 2024-06-06 | t                | End Booking   | 2024-06-06 02:54:56.383928+00 | 2024-06-06 02:54:56.383939+00 |        645 |             |           
 2929 | 2024-06-06 | t                | Start Booking | 2024-06-06 02:54:56.384731+00 | 2024-06-06 02:54:56.384743+00 |        645 |             |           
 2930 | 2024-06-06 | t                | Payment       | 2024-06-06 02:54:56.388599+00 | 2024-06-06 02:54:56.38861+00  |            |             |       2337
 2931 | 2024-06-06 | t                | Payment       | 2024-06-06 02:54:56.391066+00 | 2024-06-06 02:54:56.391075+00 |            |             |       2338
 2932 | 2024-06-06 | t                | Cleaning      | 2024-06-06 02:57:56.99627+00  | 2024-06-06 02:57:56.996283+00 |            |         595 |           
 2933 | 2024-06-06 | t                | End Booking   | 2024-06-06 02:57:56.997595+00 | 2024-06-06 02:57:56.997607+00 |        646 |             |           
 2934 | 2024-06-06 | t                | Start Booking | 2024-06-06 02:57:56.99833+00  | 2024-06-06 02:57:56.998341+00 |        646 |             |           
 2935 | 2024-06-06 | t                | Payment       | 2024-06-06 02:57:57.001796+00 | 2024-06-06 02:57:57.001807+00 |            |             |       2339
 2936 | 2024-06-06 | t                | Payment       | 2024-06-06 02:57:57.004272+00 | 2024-06-06 02:57:57.004283+00 |            |             |       2340
 2937 | 2024-06-06 | t                | Payment       | 2024-06-06 02:57:57.006348+00 | 2024-06-06 02:57:57.006359+00 |            |             |       2341
 2938 | 2024-06-06 | t                | Payment       | 2024-06-06 02:57:57.008441+00 | 2024-06-06 02:57:57.008452+00 |            |             |       2342
 2939 | 2024-06-10 | t                | Payment       | 2024-06-06 02:57:57.010353+00 | 2024-06-06 02:57:57.010363+00 |            |             |       2343
 2940 | 2024-06-06 | t                | Cleaning      | 2024-06-06 03:03:15.977373+00 | 2024-06-06 03:03:15.977384+00 |            |         596 |           
 2941 | 2024-06-06 | t                | End Booking   | 2024-06-06 03:03:15.978725+00 | 2024-06-06 03:03:15.978736+00 |        647 |             |           
